cruise_id	n_files	lon_min	lon_max	lat_min	lat_max	lon_center	lat_center	total_lines	n_keep	n_review	n_hv_review	n_exclude
KY06-09	7	137.440792	142.626488	28.86707	30.164937	140.0	29.5	2238480.0	7	0	0	0
KY09-07	7	140.141654	146.732752	32.277864	38.106344	143.4	35.2	1703952.0	7	0	0	0
KY12-13	7	139.637063	140.313006	30.529799	34.876164	140.0	32.7	1973046.0	7	0	0	0
KY04-13	7	136.008032	137.164735	32.034265	33.92221	136.6	33.0	3499720.0	7	0	0	0
KY10-11	7	139.115215	139.44108	34.970295	35.052126	139.3	35.0	651178.0	7	0	0	0
KY09-10	7	139.786569	142.598654	27.866697	30.595261	141.2	29.2	3519504.0	7	0	0	0
KR11-04	7	134.408454	138.369783	32.304969	34.115442	136.4	33.2	1544459.0	0	0	7	0
KR09-05	7	135.028457	137.378698	19.244553	32.946308	136.2	26.1	2653017.0	7	0	0	0
KR09-08	7	136.060482	136.935377	32.883843	33.913111	136.5	33.4	5359974.0	7	0	0	0
KR09-04	7	141.401469	143.082754	27.485877	33.078907	142.2	30.3	2206725.0	7	0	0	0
KR05-15	7	135.417265	140.29648	-0.414871	3.023531	137.9	1.3	4078716.0	7	0	0	0
KR04-10	7	140.495715	143.447329	27.363334	34.297104	142.0	30.8	2266819.0	7	0	0	0
KY07-06	7	135.991321	136.742004	33.335695	33.907213	136.4	33.6	2215679.0	7	0	0	0
KY04-01	7	134.820709	137.238127	32.444378	33.610023	136.0	33.0	2275454.0	7	0	0	0
KR07-08	7	141.899866	160.044548	37.039026	42.073459	151.0	39.6	3289546.0	7	0	0	0
KR12-11	7	134.989124	142.941233	29.101189	34.901318	139.0	32.0	3885957.0	0	0	7	0
KR11-E04	7	140.136958	143.987679	34.908561	38.670258	142.1	36.8	5794617.0	7	0	0	0
KR11-06	7	135.203183	142.064858	33.275757	35.24152	138.6	34.3	2789538.0	7	0	0	0
KR13-04	7	141.255922	144.010796	36.174448	39.177717	142.6	37.7	2927987.0	7	0	0	0
KY04-06	6	136.350533	136.739709	33.100046	34.036279	136.5	33.6	3419584.0	6	0	0	0
KY13-07	6	135.094757	141.859885	33.380846	34.848466	138.5	34.1	2226567.0	6	0	0	0
KY13-03	6	139.123842	139.685813	34.988294	35.171827	139.4	35.1	416715.0	6	0	0	0
KR15-11	6	128.943085	139.163334	28.497603	38.179218	134.1	33.3	2488534.0	6	0	0	0
KY04-03	6	133.152879	134.516658	31.496875	32.865443	133.8	32.2	1839787.0	6	0	0	0
KY08-06	6	136.429764	137.0626	32.913356	33.548646	136.7	33.2	3983861.0	6	0	0	0
KY07-14	6	139.258684	141.130231	34.566975	35.313831	140.2	34.9	1593848.0	6	0	0	0
KY06-14	6	138.638449	140.700832	31.406159	32.556641	139.7	32.0	2325011.0	6	0	0	0
KY07-01	6	136.511592	137.64219	31.992557	32.734338	137.1	32.4	1139125.0	6	0	0	0
KR05-07	6	142.508024	144.102334	37.904916	38.594222	143.3	38.2	4066828.0	6	0	0	0
KY05-08	6	137.857375	138.298808	37.229818	38.014033	138.1	37.6	1722615.0	6	0	0	0
KM20-02	6	133.981369	144.543546	30.602579	39.118804	139.3	34.9	3417896.0	6	0	0	0
KY06-05	6	138.653509	141.16656	30.199591	33.326713	139.9	31.8	4272355.0	6	0	0	0
KR09-12	6	134.866364	137.024439	32.297967	33.117477	135.9	32.7	721490.0	6	0	0	0
KR09-07	6	139.507095	143.751961	33.436394	35.016688	141.6	34.2	2516555.0	6	0	0	0
KR07-07	6	142.789059	145.423538	37.594519	38.789145	144.1	38.2	1927409.0	6	0	0	0
KR12-05	6	138.535678	139.525095	34.550923	35.179726	139.0	34.9	3615495.0	0	0	6	0
MR07-06	6	-35.6375	10702.0	-35.6343	235.0475	5333.2	99.7	3805082.0	0	0	0	0
MR07-04	6	-35.6375	10702.0	-35.6343	235.0475	5333.2	99.7	3805082.0	0	0	0	0
KR12-04	6	137.129922	139.777101	33.836287	35.021292	138.5	34.4	5500503.0	6	0	0	0
KY04-04	6	129.939285	138.654378	31.251279	34.684821	134.3	33.0	2679541.0	6	0	0	0
KY09-02	6	135.621194	139.30762	33.39908	35.08173	137.5	34.2	2884003.0	6	0	0	0
KY03-11	6	136.557328	139.230112	33.666307	35.00819	137.9	34.3	242872.0	6	0	0	0
KR04-11	6	141.786207	142.542044	26.795211	28.004765	142.2	27.4	3319912.0	4	0	2	0
KR09-02	6	136.527701	136.722416	33.194145	33.337575	136.6	33.3	1138587.0	6	0	0	0
KR05-11	6	139.559647	140.136819	31.675472	32.202049	139.8	31.9	6633905.0	6	0	0	0
KR04-07	6	139.206846	139.530449	34.905998	35.207604	139.4	35.1	2671378.0	6	0	0	0
KR08-E03	6	139.527829	141.882821	28.818321	32.172752	140.7	30.5	4041603.0	6	0	0	0
KR11-12	6	134.619808	139.649533	32.168334	35.077084	137.1	33.6	2482327.0	6	0	0	0
KY10-14	6	136.557813	141.091369	32.642962	35.005836	138.8	33.8	1417974.0	6	0	0	0
KR13-03	6	136.919154	139.63357	25.269825	34.861571	138.3	30.1	1695818.0	6	0	0	0
KR12-17	6	134.620523	139.623969	31.911972	35.049242	137.1	33.5	1182259.0	6	0	0	0
KY11-09	6	135.977568	139.540492	32.624374	34.957431	137.8	33.8	2307137.0	6	0	0	0
KY11-08	6	136.514552	139.555525	33.454612	35.176462	138.0	34.3	1263621.0	6	0	0	0
KR04-09	6	138.404487	144.363111	34.117392	40.151611	141.4	37.1	2012801.0	6	0	0	0
KY06-11	5	139.240336	140.508063	29.768531	35.077689	139.9	32.4	1041554.0	5	0	0	0
KY06-12	5	133.158227	137.195271	29.979104	32.499086	135.2	31.2	658408.0	5	0	0	0
KY13-17	5	134.474083	138.541604	32.584034	34.566828	136.5	33.6	2443491.0	5	0	0	0
KY08-E03	5	141.081095	142.099454	27.326014	32.211518	141.6	29.8	2474073.0	5	0	0	0
KY07-03	5	126.691205	127.085399	27.688441	27.898758	126.9	27.8	2749674.0	5	0	0	0
KY08-01	5	126.7079614	127.0317866	27.6507749	27.9477756	126.9	27.8	829701.0	5	0	0	0
KY15-08	5	141.470976	142.340429	37.486936	39.416166	141.9	38.5	2247421.0	5	0	0	0
