file_id	input_path	n_cells_in	n_points_in	status	notes
KY12-01_leg2_bathymetry_dmo::20120124.dat	derived/file_cells_1min/KY12-01_leg2_bathymetry_dmo__20120124.parquet	295	890261	ok	
KY12-01_leg2_bathymetry_dmo::T20120127.dat	derived/file_cells_1min/KY12-01_leg2_bathymetry_dmo__T20120127.parquet	100	129146	ok	
KY12-01_leg2_bathymetry_dmo::20120126.dat	derived/file_cells_1min/KY12-01_leg2_bathymetry_dmo__20120126.parquet	318	517152	ok	
KY12-01_leg2_bathymetry_dmo::20120125.dat	derived/file_cells_1min/KY12-01_leg2_bathymetry_dmo__20120125.parquet	266	646559	ok	
KY12-01_leg2_bathymetry_dmo::20120123.dat	derived/file_cells_1min/KY12-01_leg2_bathymetry_dmo__20120123.parquet	25	34429	ok	
KY12-01_leg2_bathymetry_dmo::T20120126.dat	derived/file_cells_1min/KY12-01_leg2_bathymetry_dmo__T20120126.parquet	234	269513	ok	
KR09-08_bathymetry_dmo::20090725.dat	derived/file_cells_1min/KR09-08_bathymetry_dmo__20090725.parquet	138	254088	ok	
KR09-08_bathymetry_dmo::20090719.dat	derived/file_cells_1min/KR09-08_bathymetry_dmo__20090719.parquet	165	151639	ok	
KR09-08_bathymetry_dmo::20090723.dat	derived/file_cells_1min/KR09-08_bathymetry_dmo__20090723.parquet	287	1216852	ok	
KR09-08_bathymetry_dmo::20090724.dat	derived/file_cells_1min/KR09-08_bathymetry_dmo__20090724.parquet	127	1256503	ok	
KR09-08_bathymetry_dmo::20090722.dat	derived/file_cells_1min/KR09-08_bathymetry_dmo__20090722.parquet	332	755270	ok	
KR09-08_bathymetry_dmo::20090720.dat	derived/file_cells_1min/KR09-08_bathymetry_dmo__20090720.parquet	321	1260795	ok	
KR09-08_bathymetry_dmo::20090721.dat	derived/file_cells_1min/KR09-08_bathymetry_dmo__20090721.parquet	186	464827	ok	
KM22-05_bathymetry_dmo::KM22-05_t.dat	derived/file_cells_1min/KM22-05_bathymetry_dmo__KM22-05_t.parquet	2036	500800	ok	
KM22-05_bathymetry_dmo::KM22-05.dat	derived/file_cells_1min/KM22-05_bathymetry_dmo__KM22-05.parquet	4611	1329084	ok	
MR01-K05_leg2_bathymetry_dmo::20011026.dat	derived/file_cells_1min/MR01-K05_leg2_bathymetry_dmo__20011026.parquet	2168	629126	ok	
MR01-K05_leg2_bathymetry_dmo::20011021.dat	derived/file_cells_1min/MR01-K05_leg2_bathymetry_dmo__20011021.parquet	1083	1010039	ok	
MR01-K05_leg2_bathymetry_dmo::20011020.dat	derived/file_cells_1min/MR01-K05_leg2_bathymetry_dmo__20011020.parquet	1729	944204	ok	
