file_id	subzip_id	relative_path	filename	ext	size_bytes	line_count	col_count	is_ascii	has_header	lon_min	lon_max	lat_min	lat_max	depth_min	depth_max	depth_sign	status	notes	first_lines	used_for_points	data_layout	lon_col	lat_col	depth_col	date_col	time_col	sonar_idx_col	cruise_id_guess	date_guess	track_kind
KS-21-8_bathymetry_dmo::terms_conditions_eng.pdf	KS-21-8_bathymetry_dmo	KS-21-8_bathymetry_dmo/terms_conditions_eng.pdf	terms_conditions_eng.pdf	.pdf	48268												non_dat			False	unknown_or_non_bathymetry									
KS-21-8_bathymetry_dmo::KS-21-8_bathymetry_readme_jp.pdf	KS-21-8_bathymetry_dmo	KS-21-8_bathymetry_dmo/KS-21-8_bathymetry_readme_jp.pdf	KS-21-8_bathymetry_readme_jp.pdf	.pdf	545014												non_dat			False	unknown_or_non_bathymetry									
KS-21-8_bathymetry_dmo::KS-21-8_bathymetry_readme_eng.pdf	KS-21-8_bathymetry_dmo	KS-21-8_bathymetry_dmo/KS-21-8_bathymetry_readme_eng.pdf	KS-21-8_bathymetry_readme_eng.pdf	.pdf	385337												non_dat			False	unknown_or_non_bathymetry									
KS-21-8_bathymetry_dmo::terms_conditions_jp.pdf	KS-21-8_bathymetry_dmo	KS-21-8_bathymetry_dmo/terms_conditions_jp.pdf	terms_conditions_jp.pdf	.pdf	68731												non_dat			False	unknown_or_non_bathymetry									
KY04-01_leg2_bathymetry_dmo::terms_conditions_eng.pdf	KY04-01_leg2_bathymetry_dmo	KY04-01_leg2_bathymetry_dmo/terms_conditions_eng.pdf	terms_conditions_eng.pdf	.pdf	48268												non_dat			False	unknown_or_non_bathymetry									
KY04-01_leg2_bathymetry_dmo::darwin-data-kaiyo-ky04-01_leg2-bathymetry_e.pdf	KY04-01_leg2_bathymetry_dmo	KY04-01_leg2_bathymetry_dmo/darwin-data-kaiyo-ky04-01_leg2-bathymetry_e.pdf	darwin-data-kaiyo-ky04-01_leg2-bathymetry_e.pdf	.pdf	805120												non_dat			False	unknown_or_non_bathymetry									
KY04-01_leg2_bathymetry_dmo::terms_conditions_jp.pdf	KY04-01_leg2_bathymetry_dmo	KY04-01_leg2_bathymetry_dmo/terms_conditions_jp.pdf	terms_conditions_jp.pdf	.pdf	68731												non_dat			False	unknown_or_non_bathymetry									
KY04-01_leg2_bathymetry_dmo::darwin-data-kaiyo-ky04-01_leg2-bathymetry_j.pdf	KY04-01_leg2_bathymetry_dmo	KY04-01_leg2_bathymetry_dmo/darwin-data-kaiyo-ky04-01_leg2-bathymetry_j.pdf	darwin-data-kaiyo-ky04-01_leg2-bathymetry_j.pdf	.pdf	908381												non_dat			False	unknown_or_non_bathymetry									
MR07-05_bathymetry_dmo::terms_conditions_eng.pdf	MR07-05_bathymetry_dmo	MR07-05_bathymetry_dmo/terms_conditions_eng.pdf	terms_conditions_eng.pdf	.pdf	48268												non_dat			False	unknown_or_non_bathymetry									
MR07-05_bathymetry_dmo::terms_conditions_jp.pdf	MR07-05_bathymetry_dmo	MR07-05_bathymetry_dmo/terms_conditions_jp.pdf	terms_conditions_jp.pdf	.pdf	68731												non_dat			False	unknown_or_non_bathymetry									
MR07-05_bathymetry_dmo::darwin-data-mirai-mr07-05-bathymetry_j.pdf	MR07-05_bathymetry_dmo	MR07-05_bathymetry_dmo/darwin-data-mirai-mr07-05-bathymetry_j.pdf	darwin-data-mirai-mr07-05-bathymetry_j.pdf	.pdf	660220												non_dat			False	unknown_or_non_bathymetry									
