ship_code	cruise_id_guess	n_files	n_subzips	lon_min	lon_max	lat_min	lat_max	n_keep	n_exclude
KR	KR15-E02	2	1	139.774544	141.62427	33.890065	34.860989	2	0
KR	KR16-03	2	1	126.386877	139.157658	26.273566	34.845157	2	0
KR	KR16-04	2	1	153.884406	166.070455	-25.536388	6.662692	2	0
KR	KR16-08	2	1	131.493933	140.093261	31.45303	38.044979	2	0
KR	KR16-10	2	1	131.368137	134.834229	30.112305	33.541988	2	0
KR	KR16-11	2	1	135.516291	139.808317	32.743687	35.021546	2	0
KR	KR16-12	2	1	139.276567	140.028423	31.829294	35.01388	2	0
KR	KR16-13	2	1	139.478908	153.621662	22.454102	34.8425	2	0
KR	KR16-15	2	1	126.780127	127.108389	27.378013	27.841096	2	0
KR	KR16-16	2	1	122.876196	129.978423	24.47979	30.75608	2	0
KR	KR16-17	2	1	126.808374	130.551236	26.803128	30.931497	2	0
KR	KR16-18	2	1	128.009692	132.457841	26.892595	30.921624	2	0
KR	KR16-E01	2	1	138.419617	139.702555	34.094237	34.896548	2	0
KR	KR16-E03	2	1	136.507073	142.379661	32.629636	34.079138	2	0
KR	KR16-E04	2	1	137.657983	142.39015	34.275941	35.171753	2	0
KR	KR16-E06	2	1	124.448473	130.467378	23.752977	30.70357	2	0
KR	KR17-05C	2	1	139.198639	139.494707	35.044367	35.102033	2	0
KR	KR17-06	2	1	141.041287	143.795608	35.620349	38.123742	2	0
KR	KR17-07C	2	1	139.862221	144.690198	33.901809	34.853914	2	0
KR	KR17-08C	2	1	132.168615	143.277759	11.274767	35.096052	2	0
KR	KR17-09	2	1	134.869225	139.358361	29.920009	35.098885	2	0
KR	KR17-10	2	1	140.571048	144.894891	35.042209	37.727524	2	0
KR	KR17-13	2	1	-179.999371	179.999729	21.391083	34.789808	2	0
KR	KR18-03C	2	1	123.724149	133.474295	24.789993	32.864785	2	0
KR	KR18-04	2	1	133.919618	137.123205	32.141959	34.292005	2	0
KR	KR18-06C	2	1	136.977414	140.136565	41.402687	43.613559	2	0
KR	KR18-07	2	1	135.521207	141.900786	32.938524	35.078609	2	0
KR	KR18-09	2	1	138.963409	140.731849	28.512564	35.062254	2	0
KR	KR18-11C	2	1	140.007011	159.124237	18.566447	34.844969	2	0
KR	KR18-12C	2	1	132.087074	139.374613	31.534699	34.922886	2	0
KR	KR19-01	2	1	134.415713	139.285348	32.333432	34.853532	2	0
KR	KR19-02C	2	1	128.302495	139.610663	27.21986	35.001631	2	0
KR	KR19-04	2	1	135.268838	139.322911	33.287613	35.006521	2	0
KR	KR19-05	2	1	139.714563	154.586485	24.076517	35.020046	2	0
KR	KR19-06C	2	1	135.457325	140.819153	38.795022	41.609911	2	0
KR	KR19-07	2	1	142.073052	147.26508	38.496207	42.827306	2	0
KR	KR19-09	2	1	134.990994	138.792822	32.67022	34.461547	2	0
KR	KR19-10C	2	1	130.825061	132.468077	29.769963	32.365411	2	0
KR	KR19-11	2	1	130.094887	130.57415	30.49534	31.055499	2	0
KR	KR20-09	2	1	135.152098	139.625685	32.856827	35.051062	2	0
KR	KR20-10	2	1	131.611137	133.014373	30.635759	32.434069	2	0
KR	KR20-11	2	1	127.76411	131.151667	27.187893	31.383388	2	0
KR	KR20-12	2	1	126.459187	138.145208	26.379776	34.515374	2	0
KR	KR20-13S	2	1	136.522568	139.337613	32.817568	34.82126	2	0
KR	KR21-02C	2	1	138.59148	138.689793	34.766112	35.038115	2	0
KR	KR21-06	2	1	136.511658	139.251649	33.533448	34.714207	2	0
KR	KR21-12C	2	1	133.295595	139.587619	32.989762	35.088205	2	0
KR	KR21-13	2	1	134.295509	139.743295	33.082728	35.159446	2	0
KR	KR21-15C	2	1	137.902802	139.862254	37.228815	40.80571	2	0
KR	KR21-16	2	1	139.212702	139.979186	33.072099	35.061197	2	0
KR	KR21-17C	2	1	138.609609	139.526837	34.61773	35.04929	2	0
KR	KR21-18C	2	1	139.11264	139.596064	34.982052	35.195893	2	0
KR	KR21-20	2	1	134.60995	138.190885	32.611628	34.542757	2	0
KR	KR21-E04	2	1	139.199364	139.599365	34.977334	35.077075	2	0
KR	KR04-12	1	1	139.325286	139.621562	34.989602	35.080118	1	0
KR	KR08-11	1	1	137.49073	137.692287	34.164227	34.397578	1	0
KR	KR08-12	1	1	136.336338	136.868733	33.4062	33.592787	1	0
KR	KR09-E02	1	1	138.554437	138.655768	34.684155	34.918797	1	0
KR	KR13-05	1	1	143.76613	144.159416	37.839123	38.048749	1	0
KR	KR14-03	1	1	139.112376	139.77531	34.910318	35.194061	1	0
KR	KR14-E04	1	1	139.501743	142.102365	33.426919	34.780247	1	0
KR	KR16-07	1	1	136.965406	137.008584	33.541972	33.594175	1	0
KR	KR17-02	1	1	138.615036	139.369047	34.584051	35.070726	1	0
KR	KR17-12	1	1	138.550972	138.636517	34.965542	35.03926	1	0
KR	KR18-02C	1	1	126.923325	139.531046	26.718233	34.95242	1	0
KR	KR18-05	1	1	138.318418	139.282203	34.51782	34.956046	1	0
KR	KR18-08	1	1	138.122307	141.756566	33.038885	34.99712	1	0
KR	KR18-10	1	1	138.581667	138.63306	34.964028	35.002677	1	0
KR	KR19-03	1	1	135.141568	139.237871	32.85417	34.898288	1	0
KR	KR19-08	1	1	138.464269	141.795197	33.333708	34.992393	1	0
KR	KR20-07	1	1	139.599831	141.722819	33.313173	34.762777	1	0
KR	KR20-E07	1	1	139.348679	139.383777	35.024084	35.0448	1	0
KR	KR21-08	1	1	139.510846	139.579149	34.611133	34.683217	1	0
KR	KR21-09	1	1	138.591306	138.672417	34.959454	35.015403	1	0
KR	KR21-11	1	1	138.56301	138.677472	34.976311	35.031964	1	0
KS	KS-22-J01	3	2	138.573555	139.773242	34.56688	35.169381	3	0
KS	KS-17-J09C	2	1	141.483425	143.58791	35.392128	39.953393	2	0
KS	KS-19-13	2	1	141.388918	145.821738	37.355573	39.55984	2	0
KS	KS-19-14	2	1	141.130964	145.301219	35.621016	39.655217	2	0
KS	KS-19-16	2	1	136.561346	137.110399	32.888412	33.732354	2	0
KS	KS-19-8	2	1	130.207412	134.825876	25.648296	28.371565	0	0
KS	KS-19-J01	2	1	136.172444	136.24984	33.503277	33.712566	2	0
